pkid,method,layers,culled_depth,num_params
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
1,PenaltySolver,5,140,10
1,PenaltySolver,5,132,10
1,PenaltySolver,5,132,10
1,PenaltySolver,5,140,10
1,PenaltySolver,5,132,10
1,PenaltySolver,5,132,10
1,PenaltySolver,5,140,10
1,PenaltySolver,5,132,10
1,PenaltySolver,5,132,10
1,PenaltySolver,5,140,10
2,PenaltySolver,5,72,10
2,PenaltySolver,5,72,10
2,PenaltySolver,5,80,10
2,PenaltySolver,5,90,10
2,PenaltySolver,5,90,10
2,PenaltySolver,5,80,10
2,PenaltySolver,5,90,10
2,PenaltySolver,5,72,10
2,PenaltySolver,5,72,10
2,PenaltySolver,5,72,10
0,CyclicSolver,5,65,10
0,CyclicSolver,5,65,10
0,CyclicSolver,5,65,10
0,CyclicSolver,5,65,10
0,CyclicSolver,5,65,10
0,CyclicSolver,5,65,10
0,CyclicSolver,5,65,10
0,CyclicSolver,5,65,10
0,CyclicSolver,5,65,10
0,CyclicSolver,5,65,10
1,CyclicSolver,5,200,10
1,CyclicSolver,5,200,10
1,CyclicSolver,5,200,10
1,CyclicSolver,5,200,10
1,CyclicSolver,5,200,10
1,CyclicSolver,5,200,10
1,CyclicSolver,5,200,10
1,CyclicSolver,5,200,10
1,CyclicSolver,5,200,10
1,CyclicSolver,5,200,10
2,CyclicSolver,5,135,10
2,CyclicSolver,5,135,10
2,CyclicSolver,5,135,10
2,CyclicSolver,5,145,10
2,CyclicSolver,5,145,10
2,CyclicSolver,5,135,10
2,CyclicSolver,5,145,10
2,CyclicSolver,5,135,10
2,CyclicSolver,5,135,10
2,CyclicSolver,5,135,10
0,HeaSolver,5,30,90
0,HeaSolver,5,30,90
0,HeaSolver,5,30,90
0,HeaSolver,5,30,90
0,HeaSolver,5,30,90
0,HeaSolver,5,30,90
0,HeaSolver,5,30,90
0,HeaSolver,5,30,90
0,HeaSolver,5,30,90
0,HeaSolver,5,30,90
1,HeaSolver,5,60,180
1,HeaSolver,5,60,180
1,HeaSolver,5,60,180
1,HeaSolver,5,60,180
1,HeaSolver,5,60,180
1,HeaSolver,5,60,180
1,HeaSolver,5,60,180
1,HeaSolver,5,60,180
1,HeaSolver,5,60,180
1,HeaSolver,5,60,180
2,HeaSolver,5,40,120
2,HeaSolver,5,40,120
2,HeaSolver,5,40,120
2,HeaSolver,5,40,120
2,HeaSolver,5,40,120
2,HeaSolver,5,40,120
2,HeaSolver,5,40,120
2,HeaSolver,5,40,120
2,HeaSolver,5,40,120
2,HeaSolver,5,40,120
0,ChocoSolver,1,44,2
0,ChocoSolver,1,44,2
0,ChocoSolver,1,44,2
0,ChocoSolver,1,44,2
0,ChocoSolver,1,44,2
0,ChocoSolver,1,44,2
0,ChocoSolver,1,44,2
0,ChocoSolver,1,44,2
0,ChocoSolver,1,44,2
0,ChocoSolver,1,44,2
1,ChocoSolver,1,167,2
1,ChocoSolver,1,167,2
1,ChocoSolver,1,168,2
1,ChocoSolver,1,167,2
1,ChocoSolver,1,167,2
1,ChocoSolver,1,168,2
1,ChocoSolver,1,167,2
1,ChocoSolver,1,167,2
1,ChocoSolver,1,168,2
1,ChocoSolver,1,167,2
2,ChocoSolver,1,114,2
2,ChocoSolver,1,114,2
2,ChocoSolver,1,114,2
2,ChocoSolver,1,115,2
2,ChocoSolver,1,115,2
2,ChocoSolver,1,113,2
2,ChocoSolver,1,115,2
2,ChocoSolver,1,113,2
2,ChocoSolver,1,114,2
2,ChocoSolver,1,114,2
